product,actual_rating,predicted_eta,num_reviews,category,abs_error,prediction_width,predicted_eta_mean,predicted_eta_hdi_lower,predicted_eta_hdi_upper,predicted_eta_sd,estimated_star_rating,estimated_star_lower,estimated_star_upper
AVpgMAE_1cnluZ0-xxCo,4.571428571428571,1.827,7,Personal Care,2.744428571428571,0.674,1.582,0.303,3.092,0.724,4.83314020857474,3.351100811123986,5.0
AVpgN3QQilAPnD_xpMv5,5.0,2.475,2,Food,2.525,0.952,2.2,0.156,4.453,1.095,5.0,3.1807647740440324,5.0
AVpgOPJHLJeJML43KwSj,4.688751926040061,2.132,649,Featured Brands,2.5567519260400613,0.155,1.941,0.094,3.694,0.974,5.0,3.108922363847045,5.0
AVpgOme5LJeJML43K1xo,4.238095238095238,1.655,21,Household Chemicals,2.583095238095238,0.465,1.938,0.069,3.827,0.991,5.0,3.0799536500579374,5.0
AVpgQMHW1cnluZ0-yyq7,4.2727272727272725,1.11,11,Personal Care,3.162727272727272,0.499,2.491,0.705,4.583,0.997,5.0,3.8169177288528386,5.0
AVpgQUiyilAPnD_xpzge,5.0,2.396,3,Personal Care,2.604,0.888,1.958,-0.141,4.378,1.123,5.0,2.836616454229432,5.0
AVpgS0cdLJeJML43L490,5.0,2.034,1,Kitchen & Dining,2.966,1.093,0.425,-1.528,2.553,1.06,3.492468134414832,1.2294322132097335,5.0
AVpgSOI5LJeJML43LvuQ,4.0,1.051,4,Movies,2.949,0.685,2.31,0.772,3.901,0.79,5.0,3.8945538818076475,5.0
AVpgTV4k1cnluZ0-zkei,4.126760563380282,1.404,71,Kitchen & Dining,2.722760563380282,0.258,1.756,-0.524,4.022,1.184,5.0,2.3928157589803014,5.0
AVpgTrwJLJeJML43MGCG,5.0,1.995,1,Personal Care,3.005,1.127,1.696,-0.034,3.186,0.887,4.965237543453071,2.9606025492468135,5.0
AVpgTzVT1cnluZ0-zrZQ,5.0,1.911,1,Personal Care,3.089,0.952,2.545,0.845,4.059,0.88,5.0,3.9791425260718425,5.0
AVpgUCAY1cnluZ0-zutu,5.0,2.574,2,Movies,2.426,1.005,2.682,0.709,4.92,1.1,5.0,3.821552723059096,5.0
AVpgVrEY1cnluZ0-0HZh,5.0,1.931,1,Personal Care,3.069,0.987,1.73,-0.171,3.607,0.935,5.0,2.8018539976825028,5.0
AVpgX45L1cnluZ0-0mMe,5.0,1.926,1,Personal Care,3.074,1.014,1.487,-0.147,3.326,0.916,4.723059096176129,2.8296639629200464,5.0
AVpgY4KQLJeJML43NQAu,4.333333333333333,1.753,3,Food,2.580333333333333,0.86,0.539,-0.843,1.953,0.72,3.6245654692931635,2.023174971031286,5.0
AVpgY9hJilAPnD_xryvm,3.6666666666666665,1.703,3,Movies,1.9636666666666664,0.882,2.422,0.794,4.366,0.9,5.0,3.9200463499420626,5.0
AVpgZbzbLJeJML43NXLE,5.0,2.858,4,Movies,2.142,0.919,1.922,-0.036,4.139,1.032,5.0,2.958285052143685,5.0
AVpgZgUlLJeJML43NYG7,4.714285714285714,2.147,7,Movies,2.5672857142857146,0.749,2.283,0.099,4.25,1.061,5.0,3.1147161066048668,5.0
AVpgaPd61cnluZ0-1FvC,4.745980707395498,2.304,311,Movies,2.441980707395498,0.188,1.969,0.326,3.501,0.861,5.0,3.377752027809965,5.0
AVpgaac0ilAPnD_xsGL7,5.0,2.769,1,Food & Beverage,2.231,1.037,1.245,-0.65,3.166,0.967,4.442641946697567,2.246813441483198,5.0
AVpgal1uilAPnD_xsIax,3.5,0.917,2,Household Chemicals,2.583,0.846,-0.718,-2.133,0.93,0.791,2.168018539976825,1.0,4.077636152954809
AVpgc6_YLJeJML43OFE_,4.888888888888889,2.545,9,Personal Care,2.3438888888888894,0.731,1.052,-1.137,3.338,1.146,4.219003476245655,1.6825028968713789,5.0
AVpgcfFY1cnluZ0-1i_x,5.0,3.0529999999999995,6,Movies,1.9470000000000005,0.858,1.753,0.298,3.546,0.86,5.0,3.3453070683661643,5.0
AVpgd0F2LJeJML43ORxB,5.0,2.734,1,Food & Beverage,2.266,1.1,2.267,0.564,4.374,0.987,5.0,3.653534183082271,5.0
AVpgdZh-LJeJML43OL6w,5.0,1.923,1,Personal Care,3.077,0.99,2.43,0.843,4.392,0.906,5.0,3.976825028968714,5.0
AVpgeKsa1cnluZ0-16hV,5.0,3.165,4,Food & Beverage,1.835,0.995,1.952,0.154,4.114,1.059,5.0,3.178447276940904,5.0
AVpgeYFu1cnluZ0-19dk,1.0,0.804,1,Food,0.19599999999999995,1.112,1.983,0.029,3.785,0.977,5.0,3.033603707995365,5.0
AVpgg95x1cnluZ0-2iDa,4.0,1.221,1,Home,2.779,0.933,1.434,-0.346,3.395,0.938,4.661645422943222,2.5990730011587484,5.0
AVpghuLWilAPnD_xtqz9,4.75,1.48,4,Health,3.27,0.835,1.804,0.208,3.259,0.789,5.0,3.2410196987253768,5.0
AVpgiLDu1cnluZ0-2zyD,5.0,1.931,1,Personal Care,3.069,0.995,2.063,0.664,3.378,0.707,5.0,3.7694090382387024,5.0
AVpgjJUUilAPnD_xt_Rl,5.0,2.202,1,Food,2.798,1.051,0.761,-0.854,2.516,0.866,3.88180764774044,2.0104287369640788,5.0
AVpgksZdLJeJML43P0Tt,4.0,1.156,1,Personal Care,2.8440000000000003,0.931,-0.664,-2.722,1.231,1.012,2.2305909617612976,1.0,4.426419466975666
AVpgm0unLJeJML43QS4m,1.0,0.515,1,Personal Care,0.485,0.998,1.443,-0.214,3.626,0.966,4.6720741599073,2.7520278099652375,5.0
AVpgm4w4ilAPnD_xu1WI,4.666666666666667,1.875,3,Household Essentials,2.791666666666667,0.869,1.051,-0.377,2.317,0.685,4.21784472769409,2.563151796060255,5.0
AVpgmIBJ1cnluZ0-3sj7,4.625,1.942,224,Household Chemicals,2.683,0.188,2.184,0.111,4.164,1.066,5.0,3.1286210892236386,5.0
AVpgmXOsLJeJML43QMSJ,5.0,2.155,2,Personal Care,2.845,0.926,1.909,0.072,3.993,1.023,5.0,3.0834298957126305,5.0
AVpgnV8cLJeJML43QaeQ,3.8333333333333335,0.738,6,Home,3.0953333333333335,0.636,0.96,-0.924,3.142,1.079,4.112398609501739,1.929316338354577,5.0
AVpgoyEtLJeJML43Qvjb,4.844444444444444,2.9670000000000005,180,Household Essentials,1.8774444444444436,0.261,2.264,0.3,4.19,0.996,5.0,3.3476245654692933,5.0
AVpgqBohLJeJML43RBpF,4.846153846153846,2.453,13,Personal Care,2.393153846153846,0.62,1.978,0.112,4.133,1.021,5.0,3.1297798377752026,5.0
AVpgr86FLJeJML43RdKr,3.1153846153846154,-0.167,26,Personal Care,3.2823846153846152,0.405,1.097,-0.656,3.041,0.949,4.2711471610660485,2.2398609501738123,5.0
AVpgsAhnLJeJML43ReEV,5.0,1.942,1,Home,3.058,1.001,2.254,0.53,4.46,1.025,5.0,3.6141367323290847,5.0
AVpgsKcuLJeJML43RgeM,1.0,0.596,1,Home,0.404,1.125,1.202,-0.782,3.179,1.043,4.392815758980301,2.0938586326767092,5.0
AVpgtkqO1cnluZ0-5Ywu,5.0,1.935,1,Personal Care,3.065,1.149,1.968,0.521,3.486,0.801,5.0,3.603707995365006,5.0
AVpgtovQilAPnD_xwXDj,4.285714285714286,1.826,7,Food,2.4597142857142855,0.684,1.919,-0.265,4.203,1.112,5.0,2.6929316338354576,5.0
AVpgwi3FLJeJML43Sb8O,5.0,2.535,2,Movies,2.465,1.046,1.93,-0.091,3.688,0.974,5.0,2.894553881807648,5.0
AVpgyZwo1cnluZ0-6WML,3.909090909090909,0.9849999999999999,11,Personal Care,2.9240909090909093,0.52,1.987,-0.326,4.073,1.108,5.0,2.622247972190035,5.0
AVph3agoilAPnD_x-Mv3,3.8899755501222493,0.9970000000000001,409,Household Essentials,2.892975550122249,0.163,2.047,-0.239,4.205,1.139,5.0,2.72305909617613,5.0
AVph4x9Z1cnluZ0-HhoE,4.3076923076923075,1.506,13,Food,2.8016923076923073,0.539,1.952,-0.049,4.02,1.03,5.0,2.9432213209733487,5.0
AVph5Z60LJeJML43gDzQ,5.0,1.936,1,Personal Care,3.064,1.071,1.935,-0.37,4.403,1.149,5.0,2.571263035921205,5.0
AVph7QWe1cnluZ0-H8cb,5.0,2.33,1,Movies,2.67,1.066,2.396,0.624,4.078,0.888,5.0,3.72305909617613,5.0
AVphBCJGLJeJML43Vqmb,4.8,2.31,5,Movies,2.4899999999999998,0.79,1.731,-0.089,3.453,0.917,5.0,2.8968713789107765,5.0
AVphD_671cnluZ0-91LQ,3.6666666666666665,0.7959999999999999,3,Personal Care,2.8706666666666667,0.832,2.251,0.495,4.211,0.95,5.0,3.5735805330243338,5.0
AVphGD1nilAPnD_x1MVl,4.0,1.414,6,Personal Care,2.5860000000000003,0.745,1.466,-0.514,3.348,0.972,4.698725376593279,2.4044032444959442,5.0
AVphGb181cnluZ0--UvW,5.0,2.431,2,Food,2.569,0.953,2.245,-0.185,4.193,1.147,5.0,2.7856315179606024,5.0
AVphHwKDLJeJML43XBrq,5.0,2.184,1,Food,2.816,1.066,2.391,0.499,4.065,0.944,5.0,3.578215527230591,5.0
AVphINGS1cnluZ0--r_a,4.636363636363637,2.116,55,Movies,2.5203636363636366,0.304,1.151,-0.799,3.074,1.022,4.333719582850522,2.074159907300116,5.0
AVphJnQ-1cnluZ0--9xF,3.6666666666666665,1.639,3,Food,2.0276666666666667,0.94,2.858,1.214,4.673,0.919,5.0,4.406720741599073,5.0
